|name_job|type_busy|qualification|location|federalDistrictCode|skills|salary_min|salary_max|salary_stat_mean
10|bi analyst|full-time|middle|n o t l o c a t i o n|Not_cod|Blanc Labs,PostgreSQL,ad,Google BigQuery,Tableau,Airflow,Power BI,Data Vault,PL,SQL,DWH,Performance Review,Data Lake,QlikView,PowerBI,hoc|200000.0|250000.0|108900
11|machine learning engineer|remote|middle|n o t l o c a t i o n|Not_cod|Swift,Github,CL,CI,Python,iOS,Docker,AURA Devices,Apple Core ML|200.0|200000.0|108900
12|data engineerdata architect|remote|senior|м о с к в а|1.0|ELT,PostgreSQL,ETL,blockchain,Cypher,NoSQL,Airflow,II,Debezium,Match Systems,SQL,Blockchain,Kafka,Database Administrator,anti money laundering,ClickHouse,ElasticSearch,AML|300000.0|300000.0|104400
13|ведущий аналитик|remote|senior|м о с к в а|1.0|Tableau,Power BI,ru,SQL,Python,MS Excel,BI,QlikView|200000.0|230000.0|104400
14|преподаватель онлайн курса|remote|Not_qualification|n o t l o c a t i o n|Not_cod|zoom c,RL,DQN,ru,DDPG,IT,SAC,best practices,Reinforcement Learning,OTUS,https,learning,otus|350.0|4000.0|108900
15|nlp engineer|remote|junior|n o t l o c a t i o n|Not_cod|ML,notion,PyTorch,Git,Trading Board,Bert,LLM,Docker,Domain adaptation,https,site,pvs|250000.0|250000.0|108900
16|ml engineer|remote|middle|м о с к в а|1.0|IDecide,ML,net,python,http,scikit,git,docker,ru,linux,learn|200000.0|250000.0|104400
17|системный аналитик|full-time|senior|м о с к в а|1.0|Home office,API,SberCloud,SQL,IT,UML,BPMN,NET|150000.0|300000.0|104400
18|преподаватель онлайн курсов|part-time|Not_qualification|n o t l o c a t i o n|Not_cod|zoom c,Data Warehouse Analyst,IT,best practices,Reinforcement Learning,OTUS|300000.0|400000.0|108900
19|data analyst|remote|Not_qualification|м о с к в а|1.0|net,c HR,Bell Integrator,python,feature engineering,Python,HR,sql,Postgresql|250000.0|250000.0|104400
20|ml  java разработчик|full-time|senior|n o t l o c a t i o n|Not_cod|ML,Jira,Java Core,IT,machine learning,BrainShells,Java|400000.0|400000.0|108900
21|разработчик greenplum|remote|junior|с а н к т п е т е р б у р г|2.0|net,Bell Integrator,Greenplum,Greenplum PostgreSQL,tg,Oracle,SQL,com,Ason,Softline,Hadoop|150000.0|170000.0|105200
22|cto|full-time|senior|n o t l o c a t i o n|Not_cod|Tech,ML,CTO,python,NLP,EU,postgresql,LLM,Ru,RU|300000.0|300000.0|108900
23|data engineer|remote|senior|n o t l o c a t i o n|Not_cod|HDFS,Spark,ETL,open,Java,Scala,API,CI,MySQL,com,Data lakehouse,Hadoop,data,SOAP,PostgreSQL,OLAP,DevOps,NoSQL,OLTP,driven,Python,SQL,REST,CD,MS SQL,Airflow,data governance,REST API,FESCO,IT,tg,source,Infrastructure as code|200000.0|280000.0|108900
24|deep learning engineer|full-time|junior|м о с к в а|1.0|AI,nvi,DL,CV,Guard,research,TensorRT,me,NVI Solutions,PyTorch,git,ru,Python,OneTBB,https,OpenCV,NVI Research,ML,docker|80000.0|150000.0|104400
25|data scientist|full-time|senior|с а н к т п е т е р б у р г|2.0|gross,pyspark,Superset,Spark,HDFS,scipy,Grafana,python,MLOps,com,pandas,pytorch,Hadoop,soft,numpy,phoenix,keras,Python,SQL,Telegram,hard skills,ML,hive,Apache,RedCloudLab,Airflow,kafka,IT,Kafka,sklearn,Data Scinetist,day off,hbase|300000.0|550000.0|105200
26|data engineer|full-time|Not_qualification|n o t l o c a t i o n|Not_cod|ETL,job,Equipment,www,Desired skills,Paid time off,MySQL,com,About the project,Swift Invention,We offer,GCP,PostgreSQL,Azure,Flexible working hours,Required skills,Python,https,SQLite,RAM,Contacts,engineer,AWS,Bachelor|400000.0|500000.0|108900
27|ml engineer|full-time|junior|м о с к в а|1.0|net,NLP,neural,developer,job,ru,Python,www,https,artlebedev,Artlebedev|100000.0|180000.0|104400
28|ml engineer|full-time|junior|м о с к в а|1.0|net,NLP,neural,developer,job,ru,Python,www,https,artlebedev,Artlebedev|100000.0|180000.0|104400
29|python разработчик|full-time|senior|n o t l o c a t i o n|Not_cod|Pytorch,OpenCV,PostgreSQL,Tensorflow,Computer Vision,Gitlab,ru,Python,Linux,Docker,info,Git,ClickHouse,Megainsight,Keras|200000.0|300000.0|108900
30|bi аналитик|full-time|Not_qualification|м о с к в а|1.0|wa,mail,ru,tg,BI|150000.0|250000.0|104400
31|system analyst middle|remote|middle|n o t l o c a t i o n|Not_cod|Confluence,SOAP,Camunda,system analyst,ftp,code,ESB,Soft Jet,SQL,REST,low,Kafka,UML,Telegram,BPMN|180000.0|300000.0|108900
32|system analyst middle|remote|middle|n o t l o c a t i o n|Not_cod|Confluence,SOAP,Camunda,system analyst,ftp,code,ESB,Soft Jet,SQL,REST,low,Kafka,UML,Telegram,BPMN|180000.0|300000.0|108900
33|data engineer|full-time|junior|м о с к в а|1.0|net,ETL,Loginom,AlphaBI,Python,SQL,DWH,ModusBI,legacy,DQ|125000.0|125000.0|104400
34|machine learning engineer|remote|middle|n o t l o c a t i o n|Not_cod|Mathematical background,Pandas,Our expectations,Fluent in English,Transformers,Competitive salary,Pytorch,Sklearn,Vacancy,Responsibilities,BitBucket,CI,Official employment,Docker,Git,Requirements,Django,Work format,marked ML,from,Company,Conditions,PostgreSQL,Understanding of CI,Python,SQL,CD processes,Mad Devs Salary,CD,dollar|200000.0|300000.0|108900
35|разработчик|full-time|middle|n o t l o c a t i o n|Not_cod|AI,www,Deep Learning,Sklearn,Data Science,Data set,hr,Docker,DVC,Git,net,PyTorch,PostgreSQL,ERP,NumPy,SciPy,driven,Python,tech,ML,Data,Airflow,MLFlow,IT,Kafka,Redis,ClickHouse|150000.0|200000.0|108900
36|lead data engineer|remote|senior|м о с к в а|1.0|Get Taxi,Apache Kafka,ETL,App Store,Google Play,dbt,AWS,MarfaTech,OLAP,SQL,Python,Snowflake,Apple MBP,BI,Delivery Club,ing,Coca Cola,IT,Clickhouse,ABBYY,DE,VK,Apache Airflow|450000.0|550000.0|104400
37|преподаватель онлайн курса clickhouse для инженеров и архитекторов бд|part-time|junior|м о с к в а|1.0|Best Practices,Zoom,IT,telegram,Clickhouse,OTUS|3000.0|3000.0|104400
38|аналитик данных|full-time|middle|м о с к в а|1.0|STONE,data driven,DWH,stone,hard,vacancy,API,net,Power BI,ru,SQL,Python,BI,Data Management,https,stoneru,notion,hh,site|150000.0|150000.0|104400
39|аналитик данных|full-time|middle|м о с к в а|1.0|net,STONE,notion,Soft,Power BI,hard,ru,data driven,SQL,Python,DWH,API,stone,BI,Data Management,https,stoneru,site|150000.0|150000.0|104400
40|data engineer|full-time|senior|n o t l o c a t i o n|Not_cod|YQL,ETL,Superset,bash,Java,Hbase,ITQ Group,PostgreSQL,as,NoSQL,Phoenix,SQL,telegram,BI,Jasperserver,HBase,YTsaurus,Clickhouse,is|250000.0|300000.0|108900
41|руководитель направления по исследованию данных|full-time|senior|с в е р д л о в с к а я о б л а с т ь|5.0|Sklearn,Lightgbm,Xgboost,RandomForest,Pandas,Catboost,Python,SQL,Statsmodels|230000.0|230000.0|111100
42|data engineer|remote|Not_qualification|n o t l o c a t i o n|Not_cod|YQL,Superset,ETL,bash,Java,Hbase,PostgreSQL,as,NoSQL,Phoenix,SQL,BI,Jasperserver,Top Selection,HBase,YTsaurus,IT,Clickhouse,is|1700.0|1700.0|108900
43|data science специалист|full-time|Not_qualification|n o t l o c a t i o n|Not_cod|Learn,ETH,Ethereum,USD,Data Science,NumPy,ALEX GROUP COMPANY,Pandas,Scikit,Python,SQL,ICO|310000.0|340000.0|108900
44|аналитик данных|remote|Not_qualification|с а н к т п е т е р б у р г|2.0|net,HRG,HRlink,IT,HR,unit,HeadHunter|150000.0|150000.0|105200
45|data engineer|remote|middle|n o t l o c a t i o n|Not_cod|IT,data,HEAAD|160000.0|160000.0|108900
46|ml инженер|remote|middle|р е с п у б л и к а т а т а р с т а н т а т а р с т а н|4.0|ONNX models,GitLab CI,WSG,Unet,json,python,UAT,CI,API,Docker,Streamlit,CVAT,Yolo,GitLab,PyTorch,PostgreSQL,Gitlab Runners,DevOps,git,SQL,Linux,python ML,CD,backend,openCV,ML,Mobilenet,PyCharm,ML DevOps,IT,OpenVINO,DEV,EfficientNet,legacy|170000.0|170000.0|112800
47|маркетолог|internship|Not_qualification|n o t l o c a t i o n|Not_cod|email,IT|777000.0|777000.0|108900
48|дата аналитик middle|remote|middle|м о с к в а|1.0|front,TCP,Aris,UI,Confluence,Jira,back,IP,ER,Web,Scrum,SOAP,ESB,SLA,REST,UX,UML,Use Cases,Agile,BPMN,User Story|18000.0|18000.0|104400
49|data scientist|remote|senior|n o t l o c a t i o n|Not_cod|ML,Oracle Telegram,GLM,catboost,xgboost,Top Selection,data science,MS SQL|230000.0|280000.0|108900
50|data engineer|remote|middle|n o t l o c a t i o n|Not_cod|ETL,Spark,HDFS,NoSQL,Airflow,Scala,Oozie,Data Vault,Luigi,Flink,BI,NiFi,AirFlow|150000.0|270000.0|108900
51|ml engineer|full-time|senior|n o t l o c a t i o n|Not_cod|tuning LLM,Scalable Solutions,Retriever,LLM,fine,Docker,Git,PyTorch,langchain,NLP,Python,Linux,LLMs,Bash,tuning,on|400000.0|400000.0|108900
52|ml engineer|full-time|middle|n o t l o c a t i o n|Not_cod|in,Americor,Compliance,CV,Pytorch,ai,MySQL,com,open source LLM,Big Data,Skyeng,net,git,VOIP,Python,SQL,MongoDB,ML,ClickHouse|250000.0|250000.0|108900
53|ai product manager|full-time|junior|n o t l o c a t i o n|Not_cod|USD,No Code,AI,Zero Code,product manager,AI Product manager,me,IT,Nexpanse,digital,https|250000.0|600000.0|108900
54|data engineer|full-time|middle|n o t l o c a t i o n|Not_cod|career,dwh,tinkoff,ETL,Greenplum,ru,system,SQL,Python,it,analytics,www,me,Clickhouse,Data Platform,https|150000.0|400000.0|108900
55|deep learning engineer|full-time|junior|м о с к в а|1.0|NVI Research,ML,AI,python,nvi,docker,TensorRT,git,ru,DL,me,CV,NVI Solutions,https,research,linux|100000.0|120000.0|104400
56|data scientist|full-time|Not_qualification|n o t l o c a t i o n|Not_cod|ML,PyTorch,nlp,Jupyter Notebook,Machine Learning,Scikit,MlFlow,Python,Aston,learn,TensorFlow,Keras|250000.0|350000.0|108900
57|data scientist|full-time|Not_qualification|м о с к в а|1.0|Jira,PostgreSQL,pgSQL,CTE,MVCC,XML,Oracle Pl,Postgis,job,PL,SQL,CSV,Git,JSON,ACID|150000.0|200000.0|104400
58|data analyst|full-time|Not_qualification|м о с к в а|1.0|Tableau,Power Pivot,Power BI,Power Query,SQL,BI,Excel|200000.0|200000.0|104400
59|преподаватель онлайн курса data warehouse analyst|part-time|Not_qualification|n o t l o c a t i o n|Not_cod|OTUS,IT,zoom c,Data Warehouse Analyst|300000.0|400000.0|108900
60|аналитик продукта|full-time|middle|м о с к в а|1.0|Superset,Ru,Yandex,product analyst,Mail,Datalens,Tableau,BCG,Greenplum,Python,SQL,Magnit Tech,BI,ML,Lamoda,Airflow,IT,Avito,ClickHouse|200000.0|280000.0|104400
61|data scientist|remote|senior|n o t l o c a t i o n|Not_cod|ML,LightGBM,Sklearn,off,production,WB,Pandas,XGBoost,Python,DL,Catboost,Numpy,SQL,day,Scipy,Wildberries|150.0|500000.0|108900
62|data scientistdata analyst|full-time|middle|м о с к в а|1.0|net,ML,company,vacancy,vk,SQL,Python,https,VK|200000.0|250000.0|104400
63|data scientist|full-time|senior|м о с к в а|1.0|OpenCV,PyTorch,Data Science,ai,DS,MLOps,production,Python,DL,Linux,Raspberry Pi,IT,MVP,Git,https|400000.0|500000.0|104400
64|computer vision engineer|remote|senior|м о с к в а|1.0|OpenCV,PyTorch,Deep Learning,DevOps,git,Net,Python,Dev,HF Labs,CV,docker|200000.0|400000.0|104400
65|senior ml разработчик|remote|middle|м о с к в а|1.0|Deep Learning,ML,Pytorch,Tensorflow,CTO,IT,SQL,Keras|450000.0|600000.0|104400
66|преподаватель онлайн курса|remote|Not_qualification|n o t l o c a t i o n|Not_cod|zoom c,Data Warehouse Analyst,MLOps,IT,OTUS|300000.0|400000.0|108900
67|senior database administrator|full-time|senior|м о с к в а|1.0|ELT,PostgreSQL,ETL,blockchain,Cypher,NoSQL,Airflow,II,Debezium,Match Systems,SQL,Blockchain,Kafka,Database Administrator,anti money laundering,ClickHouse,AML|300000.0|300000.0|104400
68|руководитель группы продуктовой и маркетинговой аналитики|remote|senior|м о с к в а|1.0|SuperSet,BigQuery,gross,Metrika,ML,OWOX,Airflow,ClickHouse,Python,SQL,IT,me,https,App,Postgresql,AppsFlyer,PowerBI|400000.0|450000.0|104400
69|руководитель группы продуктовой и маркетинговой аналитики|remote|senior|м о с к в а|1.0|SuperSet,BigQuery,gross,Metrika,ML,OWOX,Airflow,ClickHouse,Python,SQL,IT,me,https,App,Postgresql,AppsFlyer,PowerBI|400000.0|450000.0|104400
70|data engineer|remote|Not_qualification|м о с к в а|1.0|ETL,BestBenefits,commerce,Vertica,Apache NiFi,PostgreSQL,MPP,Greenplum,Apache Ariflow,SQL,Python,Teradata,MS SQL,SAP Data Services,BW on HANA,Airflow,Oracle,IT,Clickhouse,Postgres|195000.0|245000.0|104400
71|инженер данных|remote|Not_qualification|м о с к в а|1.0|ETL,BestBenefits,commerce,Vertica,Apache NiFi,PostgreSQL,MPP,Greenplum,Apache Ariflow,SQL,Python,Teradata,MS SQL,SAP Data Services,BW on HANA,Airflow,Oracle,IT,Clickhouse,Postgres|195000.0|245000.0|104400
72|data scientist|full-time|junior|р е с п у б л и к а т а т а р с т а н т а т а р с т а н|4.0|NN,ML,python,DS,GBM,IOGA center,statsmodels,Kaggle,ru,IT,scipy,pandas,Git,Sayhire,bash,linux,SVM|250000.0|250000.0|112800
73|data science|full-time|junior|с а н к т п е т е р б у р г|2.0|IT,Data Science|150000.0|250000.0|105200
74|senior mlops|remote|senior|n o t l o c a t i o n|Not_cod|ML,SOTA ML,GPU multi,DevOps,MLOps,DS,production,off,PyTorch multi,Python,SQL,node,Linux,Go,Docker,day,Jupyter Hub,Wildberries|250000.0|500000.0|108900
75|ml engineer|full-time|senior|n o t l o c a t i o n|Not_cod|inference,LLM,of,online,CV,WILDBERRIES,Wildberries,production,CI,Behavior Models,the,state,flow,Large Language,CD,art,ML,SEO|300000.0|600000.0|108900
76|ml engineer|full-time|junior|м о с к в а|1.0|net,NLP,neural,developer,job,ru,Python,www,https,artlebedev|100000.0|180000.0|104400
77|ml engineer|full-time|junior|м о с к в а|1.0|net,NLP,neural,developer,job,ru,Python,www,https,artlebedev|100000.0|180000.0|104400
78|computer vision engineer|full-time|senior|n o t l o c a t i o n|Not_cod|ML,python,inference,smartbrainio,DL,CV,mercurial,git flow,npu,linux|410000.0|550000.0|108900
79|бизнес аналитик|remote|Not_qualification|с а н к т п е т е р б у р г|2.0|SAAS,Trace,FMSG,XSD,Big data,Swagger,API,JSON,Postman,SOAP,Teva,Bayer,Kubernetes,Utrace,SQL,REST,BI,Navicon,SQL BI,XML,Johnson,BPMN,Track|240000.0|240000.0|105200
80|data engineer|full-time|Not_qualification|n o t l o c a t i o n|Not_cod|SQL,MOEX,CME,c Git|200000.0|300000.0|108900
81|data analystdata engineer|full-time|senior|с а м а р с к а я о б л а с т ь|4.0|ETL,Spark,info,bash,NiFi,data analysis,me,com,Docker,Jupyter,git,Python,SQL,Linux,https,Hadoop map,ing,Data,FineBI|140000.0|220000.0|111700
82|ведущий разработчик с|remote|Not_qualification|n o t l o c a t i o n|Not_cod|http,Postman,PostgreSQ,MS SQL|250000.0|250000.0|108900
83|senior devops|full-time|middle|с а н к т п е т е р б у р г|2.0|Jenkins,core,Cloud Native,DevOps,Python,Docker,Git,NodeJS,Ansible|350000.0|400000.0|105200
84|sql аналитик|full-time|middle|м о с к в а|1.0|PostrgeSQL,PostgreSQL,SMS,ru,SQL,IT,IVR,SQl,push,https|250000.0|250000.0|104400
85|sql аналитик|full-time|middle|м о с к в а|1.0|PostrgeSQL,PostgreSQL,SMS,ru,SQL,IT,IVR,SQl,push,https|250000.0|250000.0|104400
86|продуктовый аналитик|remote|Not_qualification|n o t l o c a t i o n|Not_cod|IT,SQL,USD,ZION Development|250000.0|360000.0|108900
87|аккаунт менеджер|remote|Not_qualification|n o t l o c a t i o n|Not_cod|FigJam,Zoom,Selectel,Skillfactory,Confluence,email,vacancy,Mailganer,com,Smartavia,ru,Usedesk,https,Tilda,IT,sms|40000.0|90000.0|108900
88|системный аналитик|remote|Not_qualification|н и ж е г о р о д с к а я о б л а с т ь|4.0|AI,HTML,Confluence,Jira,io,CJM,API,commerce,machine learning,ER,Git,Excel,JSON,Postman,SOAP,NoSQL,SQL,Python,EPC,REST,MS Excel,UML,Visio,User Story Map,Use Cases,XML,Riverstart,IT,Draw,BPMN,User Story|150000.0|180000.0|111000
89|ml lead|full-time|senior|р е с п у б л и к а т ы в а|6.0|js,ML,QA,front,AI,Scrum,gross,email,IoT,tg,PM,Agile,com,backend|350000.0|500000.0|104200
90|data engineer|full-time|junior|n o t l o c a t i o n|Not_cod|Google Sheets,AI,DAGs,Glue,dbt,Workflow performance,BigQuery,FTP servers,Scientist,MySQL,me,STACK,Lambdas,GCP,SKILLS,Azure PostgreSQL,RESPONSIBILITIES,PostgreSQL,make,Adaptable to Windows,ru,Python,Redshift,Linux,Dataform,https,MSSQL,AWS Redshift,company,Airflow,KPI,Intermediate,Data Lake,AWS,etc|200000.0|300000.0|108900
91|senior mlops|remote|senior|м о с к в а|1.0|ML,SOTA ML,GPU multi,DevOps,MLOps,DS,production,off,PyTorch multi,Python,SQL,node,Linux,Go,Docker,day,Jupyter Hub,Wildberries|250000.0|500000.0|104400
92|аналитик данных|full-time|Not_qualification|м о с к в а|1.0|Excel,SQL,Google,Market Lab|200000.0|300000.0|104400
93|web аналитик|full-time|middle|м о с к в а|1.0|app,gross,Google Tag Manager,Firebase,IS,TO,web,GTM,BE,Web,Google Analytics,Google BigQuery,Power BI,SQL,Python,appsFlyer,AS,AppMetrica,Looker|240000.0|240000.0|104400
94|senior mlops|remote|senior|n o t l o c a t i o n|Not_cod|ML,SOTA ML,GPU multi,DevOps,MLOps,DS,production,off,PyTorch multi,Python,SQL,node,Linux,Go,Docker,day,Jupyter Hub,Wildberries|250000.0|250000.0|108900
95|data engineer|remote|senior|n o t l o c a t i o n|Not_cod|Event Sourcing Projections,Event Sourced Data,KSQLDB,KAFKA,OLAP,Superset,RPS,IDP,IT,Python,DWH,CCS,Go,BI,Architecture,ClickHouse,ing|300000.0|300000.0|108900
96|computer vision engineer|full-time|senior|n o t l o c a t i o n|Not_cod|ML,python,inference,smartbrainio,DL,CV,mercurial,git flow,npu,linux|410000.0|550000.0|108900
97|golang разработчик|full-time|middle|n o t l o c a t i o n|Not_cod|Jira,PostgreSQL,QIWI,CD,fintech,Gitlab,CI,SQL,Python,HR,Kafka,Golang,Git,Docker,unit,Redis|250000.0|300000.0|108900
98|computer vision engineer|full-time|middle|n o t l o c a t i o n|Not_cod|ML,python,inference,DL,smartbrainio,CV,mercurial,git flow,npu,linux|410000.0|550000.0|108900
99|business analyst|full-time|Not_qualification|n o t l o c a t i o n|Not_cod|HuntIT,Digital,Business Analyst,web,IT,HR,TG,huntit,work,https,IT HR|300000.0|300000.0|108900
100|product analyst|remote|Not_qualification|n o t l o c a t i o n|Not_cod|numpy,mobile,Pandas,Python,SQL,WILDBERRIES,sklearn,Product Analyst|300000.0|600000.0|108900
101|продуктовый аналитик|full-time|Not_qualification|n o t l o c a t i o n|Not_cod|BigQuery,OpenMyGame,Tableau,Skill,SQL,Python,BI|13000.0|13000.0|108900
102|junior или middle php разработчик|part-time|junior|n o t l o c a t i o n|Not_cod|JavaScript,js,JS frameworks,Jenkins,SCSS,PHP,Redux,MariaDB,MySQL,Git,Github Flow,learning,jQuery,Backbone,CSS,SASS,Yii,USD,React,Angular,etc|160000.0|240000.0|108900
103|data analyst|remote|middle|n o t l o c a t i o n|Not_cod|ML,numpy,Data Science,Tableau,Redash,IT,Python,pandas,Grafana|200000.0|450000.0|108900
104|bi developer|full-time|middle|n o t l o c a t i o n|Not_cod|Tableau,Brief,SQL,HR,UX,BI,UI,Fine BI|240000.0|280000.0|108900
105|data analyst|remote|middle|n o t l o c a t i o n|Not_cod|ML,numpy,Data Science,Tableau,Redash,IT,Python,pandas,Grafana|200000.0|200000.0|108900
106|продуктовый аналитик тестировщик|remote|Not_qualification|м о с к в а|1.0|tg|250000.0|250000.0|104400
107|аналитик математик|full-time|Not_qualification|м о с к в а|1.0|net,Confluence,Jira,Matlab,Python|250.0|130000.0|104400
108|data analyst|full-time|middle|м о с к в а|1.0|Invite IT,gross,Data,ETL,KION,DevOps,Premium,git,SQL,Python,DWH,bash,Data Lake,Big Data|250000.0|250000.0|104400
109|product analyst|full-time|middle|n o t l o c a t i o n|Not_cod|HuntIT,DataLore,Digital,Tableau,web,SciPy,Pandas,IT,SQL,product analyst,MySQL,Python,BI,Numpy,Plotly,ClickHouse|150000.0|250000.0|108900
110|ml engineer|remote|senior|n o t l o c a t i o n|Not_cod|ECCV,Gradient,Computer Vision,Machine Learning,opencv,TFlite,Pytorch,torchscript,Deep Learning,ICML,github,ICLR,arxiv,Apple,Best of,server,CV Engineer,face beautification,ICCV,numpy,NIPS,ML,CoreML,CVPR,production ready GAN,mobile,SOTA Computer Vision|300000.0|300000.0|108900
111|devops инженеры|full-time|senior|n o t l o c a t i o n|Not_cod|Terraform,DevOps,IP,TCP,git,CI,Linux,Docker,bash,CD,Ansible,Java|200000.0|300000.0|108900
112|data scientist|remote|Not_qualification|м о с к в а|1.0|MSSQL,PostgreSQL,Data Science,ETL,Oracle,FinTech,SQL,Python,airflow,grafana,Git,docker|200000.0|240000.0|104400
113|компания|remote|Not_qualification|м о с к в а|1.0|tg|250000.0|250000.0|104400
114|системный аналитик|full-time|Not_qualification|м о с к в а|1.0|Confluence,Chatlab,GRPC,Market Lab,SQL,Atlassian Jira,WS API,REST,Git,CRM,SaaS|200000.0|350000.0|104400
115|qa automation|full-time|Not_qualification|м о с к в а|1.0|QA Automation,JS,TelegramBots,Pytest,Market Lab,Python,Jest|170000.0|170000.0|104400
116|data analyst|full-time|middle|n o t l o c a t i o n|Not_cod|Finstar Financial Group,DFI,ETL,Power BI,KPI,SQL,Python,DWH,com,www,BI,digital,https,Digital Finance ational|200000.0|300000.0|108900
117|data scientist|full-time|middle|с а н к т п е т е р б у р г|2.0|LLM,GPT,IT,NLP|250000.0|300000.0|105200
118|разработка bi|remote|middle|n o t l o c a t i o n|Not_cod|ETL,Tableau,HTML,CSS,Apache Superset,it,SQL,BI,Power Bi,Qlik|160000.0|190000.0|108900
119|bi developer|full-time|middle|n o t l o c a t i o n|Not_cod|Confluence,PostgreSQL,DDL,Power BI,DAX,DIY,DML,FMCG,IT,SQL,DWH,BI,My SQL,ClickHouse|160000.0|200000.0|108900
120|middle product analyst|full-time|middle|n o t l o c a t i o n|Not_cod|notion,emex,EMEX,Product,tg,SQL,Python,commerce,group,Analyst,https,site,pvs,Product Analyst|150000.0|280000.0|108900
121|s|remote|senior|n o t l o c a t i o n|Not_cod|Google Analytics,Tableau,Power BI,Amplitude,Mixpanel,CloverCode|250000.0|350000.0|108900
122|data scientist|full-time|junior|с а н к т п е т е р б у р г|2.0|IT,Data Science|150000.0|250000.0|105200
123|системный аналитик|full-time|middle|n o t l o c a t i o n|Not_cod|Confluence,ETL,KPI,Oracle,IT,SQL,DWH,Atlassian Jira|290000.0|290000.0|108900
124|вакансия для начинающих data science|full-time|junior|с а н к т п е т е р б у р г|2.0|IT,Data Science|150000.0|250000.0|105200
125|системный аналитик|remote|middle|n o t l o c a t i o n|Not_cod|Confluence,Jira,PlantUML,swagger,kafka,REST API,SQL,it,join,OpenAPI,group by,UML,BPMN|160000.0|190000.0|108900
126|frontend разработчик|full-time|Not_qualification|n o t l o c a t i o n|Not_cod|React,QIWI,SPA,Redux,job,Kubernetes,Frontend,ru,Agile,SOLID,Typescript,TypeScript,MobX,JavaScript|230000.0|230000.0|108900
127|data scientist|full-time|senior|n o t l o c a t i o n|Not_cod|Programming,Machine Learning,Strong Math Skills,Nearest Neighbors,on Experience,Java,js,Responsibilities,Data Science,Naive Bayes,Hands,Degree,me,com,Familiarity with Scala,Software Engineering Background,Preferred Additional Skills,Communication Skills,Data Wrangling,Decision Forests,Develop real,Analytical Mind,Familiarity with open,Python,Knowledge of,Pig is desirable,Statistics,https,Key Skills,Data Visualization,In Computer Science,Hive,or C,Mathematics,etc,SVM|400000.0|450000.0|108900
128|product data analyst|full-time|senior|n o t l o c a t i o n|Not_cod|outside Russia,work,English,Belarus Company,Product analysis experience,Data Science experience,Project,Travel,years of Data,Understanding of web,Structure data,Contact,Europe,Create dashboards,Create custom reports,Salary,Basic API knowledge,Location,Amazon QuickSight,PO,Language,You Have|350000.0|450000.0|108900
129|data engineer|remote|senior|м о с к в а|1.0|Superset,DWH,PowerBI,Tableau,hr,me,com,data,PostgreSQL,Greenplum,git,Python,SQL,Linux,csv,https,Amazon,Airflow,DataLake,IT,Clickhouse,Kafka|200000.0|200000.0|104400
130|data analyst|full-time|middle|м о с к в а|1.0|PowerDesigner,Draw io,SQL,erwin,Visio|250000.0|350000.0|104400
